negatives
"('Q92764', 'Q14533')"
"('Q92993', 'Q6AZZ1')"
"('Q2M2I8', 'Q00610')"
"('Q96GX1', 'Q96A33')"
"('Q9NP77', 'Q14683')"
"('Q5JUK2', 'Q99471')"
"('P16949', 'Q13555')"
"('P60520', 'Q9BUJ2')"
"('Q96B97', 'P35222')"
"('P84022', 'Q8IXK0')"
"('Q9Y2I6', 'Q8IY67')"
"('Q15047', 'Q13332')"
"('Q08211', 'O60216')"
"('Q96P16', 'Q9Y371')"
"('Q92844', 'Q99558')"
"('Q96FV9', 'Q53F19')"
"('Q9H0E3', 'Q8WUU5')"
"('P54727', 'P04629')"
"('P49116', 'P07900')"
"('Q01850', 'P25786')"
"('O43187', 'P49711')"
"('Q9UNZ2', 'P05187')"
"('Q13617', 'Q13310')"
"('O15504', 'O14980')"
"('O75494', 'O75147')"
"('Q15389', 'P11362')"
"('P03372', 'Q01851')"
"('Q96Q45', 'Q9NP55')"
"('Q9UM54', 'Q9Y6K9')"
"('Q53GS7', 'Q8NFH5')"
"('P49841', 'Q96HA7')"
"('Q14997', 'P49720')"
"('Q9H8S9', 'Q8NI27')"
"('Q8N766', 'Q9NPA0')"
"('Q6P5Z2', 'O95235')"
"('Q96CV9', 'P15692')"
"('Q9Y616', 'P51617')"
"('Q53H96', 'Q96C36')"
"('P23771', 'Q4ZG55')"
"('Q05639', 'Q86XR8')"
"('P35659', 'Q13285')"
"('P36406', 'Q8IYE0')"
"('Q00839', 'Q92597')"
"('O43930', 'P04406')"
"('P48050', 'Q12959')"
"('P27635', 'Q7KZF4')"
"('Q9UHM6', 'Q86Y82')"
"('Q9Y265', 'Q8N653')"
"('Q6PCT2', 'Q14134')"
"('Q96N67', 'P01106')"
"('P62195', 'P54252')"
"('Q13823', 'Q9NR30')"
"('O94903', 'P08243')"
"('P38606', 'P15313')"
"('Q14739', 'Q9Y5J5')"
"('Q68CQ4', 'O94973')"
"('Q8N6R0', 'P25445')"
"('P13612', 'P53708')"
"('P43403', 'P07900')"
"('O43237', 'Q9NRD5')"
"('Q03181', 'Q92769')"
"('Q9Y2K1', 'Q15058')"
"('P78424', 'Q9NVR0')"
"('Q9UQ07', 'Q9BRK5')"
"('P52597', 'P27816')"
"('P60709', 'Q99829')"
"('O75530', 'P46776')"
"('Q9BRX9', 'O15259')"
"('Q13315', 'Q8WY91')"
"('P63000', 'P40617')"
"('Q13444', 'P28482')"
"('Q9UKW6', 'P61160')"
"('P25815', 'Q9NYB0')"
"('P21359', 'Q8TC76')"
"('P28799', 'Q9UGL9')"
"('P49454', 'Q08AG7')"
"('O95817', 'Q16772')"
"('Q9H267', 'Q9Y5X3')"
"('Q7L2E3', 'Q96ST3')"
"('P04629', 'Q5TCZ1')"
"('P50990', 'Q9NZN4')"
"('Q99627', 'Q13616')"
"('Q9UPM6', 'Q5TA31')"
"('Q8N684', 'P26368')"
"('P25205', 'P04629')"
"('Q9BY32', 'O14732')"
"('P07498', 'O14832')"
"('Q3B820', 'Q8NA61')"
"('Q9NWM8', 'P25067')"
"('Q13131', 'P34932')"
"('P17987', 'P27695')"
"('Q13415', 'Q14566')"
"('O60506', 'P41252')"
"('P35368', 'Q14344')"
"('Q9BYU1', 'Q8IYI6')"
"('P19474', 'P49915')"
"('O43524', 'P62714')"
"('Q13595', 'Q12824')"
"('P39019', 'Q02543')"
"('Q7L2H7', 'P60709')"
"('Q9NVA2', 'P13569')"
"('Q9BQE9', 'Q9H0H5')"
"('Q8NGQ2', 'Q9P2W3')"
"('P63104', 'Q12824')"
"('Q9NZZ3', 'Q99816')"
"('Q9Y3D3', 'Q8NI60')"
"('P13612', 'O43809')"
"('Q02447', 'Q6MZP7')"
"('P48552', 'P37231')"
"('P61201', 'P34947')"
"('Q01167', 'P61244')"
"('Q86SJ2', 'Q86WK6')"
"('P19838', 'P01011')"
"('P27987', 'Q9BYV2')"
"('O00255', 'P36956')"
"('Q6PJG2', 'Q5JWF2')"
"('Q9Y2J4', 'Q15560')"
"('Q9UGC6', 'P49901')"
"('P60484', 'Q14790')"
"('E9PAV3', 'P16104')"
"('P11117', 'P81408')"
"('Q8NCG7', 'Q9HBV2')"
"('P52739', 'Q5TD97')"
"('Q9Y297', 'P62258')"
"('O00391', 'P62837')"
"('Q13976', 'O76074')"
"('O14576', 'P43034')"
"('P62899', 'Q13618')"
"('P27635', 'Q15477')"
"('P49336', 'O60885')"
"('P08238', 'Q13702')"
"('O60684', 'Q14161')"
"('Q9NX24', 'Q01167')"
"('O60308', 'Q15691')"
"('Q07866', 'Q92905')"
"('Q9NQC8', 'Q3KP44')"
"('Q8NH53', 'O60262')"
"('O95363', 'Q12933')"
"('O15353', 'P27540')"
"('P02545', 'P12821')"
"('O43463', 'O95260')"
"('P14921', 'Q00653')"
"('P30450', 'Q7LGA3')"
"('Q9C026', 'Q969S9')"
"('Q9C026', 'Q68CQ4')"
"('P28067', 'P26368')"
"('Q13255', 'Q13224')"
"('Q9NZC7', 'Q7Z6Z7')"
"('P00540', 'Q15323')"
"('Q9BZ95', 'P62310')"
"('O94906', 'Q9NRC8')"
"('Q12929', 'O14640')"
"('O15294', 'P68402')"
"('P0CAP1', 'P52435')"
"('P13612', 'P00338')"
"('Q8IZ07', 'Q8N5I2')"
"('Q9BUJ0', 'Q9BRX5')"
"('Q2MV58', 'P80303')"
"('Q96GC9', 'Q6NUS6')"
